epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.67722631488608354;0.62361863844832222;0.800016889524785;0.41762941562162814
1;0.82766914818289017;0.38392097556033805;0.83622548866795032;0.36461348746390504
2;0.87252179844033784;0.29378856885384896;0.88392206702216813;0.26636294108088493
3;0.89555508939747941;0.24281187234029478;0.89766834664337725;0.23899240791797638
4;0.9026395110865334;0.22642166057274105;0.90653322695837579;0.22366194469755388
5;0.91569782730642191;0.19647803928838181;0.90699278161464236;0.21444516764882496
6;0.92369592376513521;0.1780008698584169;0.91168997238624561;0.20949137014917546
7;0.92804471668795119;0.16806478118493584;0.87355857219888311;0.3340202890504389
8;0.9298888910180767;0.16401243719355793;0.9162513172806741;0.19861817178353688
9;0.93763131625992302;0.14549686424032904;0.89955983635865366;0.25936762871717156
10;0.93711184932257496;0.14688613249922425;0.91012017724424243;0.21783911490693064
