epoch;categorical_accuracy;loss;val_categorical_accuracy;val_loss
0;0.77981931081178402;0.46083531636407227;0.86845782751678136;0.30058118079298285
1;0.88830955573463222;0.25898550192278252;0.92050231784902592;0.18514047007086457
2;0.91614235443649716;0.19747673738215366;0.91366094299542011;0.2098204727134397
3;0.92637270286269313;0.17386462382263837;0.9393604434946532;0.14450393758153401
4;0.93245377334624124;0.15952604557196826;0.9301869261649347;0.16254792881588781
5;0.93488913925651884;0.1537082860058851;0.94179528541462398;0.13923617270524785
6;0.93783901661076274;0.14682996100246593;0.94021206402009538;0.14862703896498167
7;0.94108649876523864;0.13915466579637581;0.94613802740650788;0.12845529238543202
8;0.94270833608059168;0.13545494601270697;0.94408686648132978;0.13256939601513648
9;0.94424688745564123;0.13183365891896137;0.94711962938308714;0.1286863015864485
